CSC,PJW,Preiss,UnsignedCSC
14896,28097,24277,14896
15065,28154,24606,15065
106,13058,10178,29697
101,8277,5190,34174
104,32194,28410,20826
117,112,14266,6976
116,11208,34788,3849
15402,28347,25295,15402
23867,875,13434,23867
117,29501,4771,25060
116,22060,17184,892
23852,890,13449,23852
15405,28350,25298,15405
100,34456,9079,31970
117,34407,9064,31987
104,4442,17649,4695
97,34795,12468,32767
15626,28363,25487,15626
16699,1131,25722,16699
117,33207,25807,30812
116,11698,17184,32521
16685,1145,25736,16685
16684,1146,25737,16684
97,4062,27103,12365
8057,6121,25607,8057
14078,28399,1878,14078
31391,1722,12408,31391
14265,28554,2513,14265
25343,4202,18347,25343
102,22835,19599,4058
101,19876,24671,22393
116,19891,24656,22380
104,10157,6309,17777
111,10180,6252,17818
116,9967,27639,17956
106,6996,17468,2130
116,18703,26673,15268
109,7526,12456,19767
28204,13659,8732,28204
101,26414,24149,29237
111,6900,20357,29802
116,18776,4356,24699
115,26492,24803,28899
116,8745,10429,28599
117,29257,16947,1714
8216,6168,25670,8216
117,27452,18626,9415
111,3794,27160,32701
116,20583,27639,34748
8232,6184,25686,8232
19736,29401,7056,19736
100,25136,16010,19285
118,25086,15996,19303
104,29467,32510,27496
102,2913,27220,15403
24503,30088,27087,24503
101,23435,6807,7416
117,29908,31814,13483
115,23417,6821,7398
104,28871,15443,25788
11316,28746,23778,11316
23306,30155,22402,23306
14742,29803,2427,14742
14727,29818,2442,14727
97,10037,20336,19399
116,27572,25791,20576
127,8154,12522,768
13881,34139,18413,13881
111,16379,20357,20313
116,18376,4356,24591
122,10248,15602,32745
116,22539,21224,1481
31797,3631,15364,31797
100,8110,10590,12250
117,8061,10575,12267
104,854,27222,8813
29622,6735,5083,29622
100,22945,6823,12308
117,22896,6808,12325
104,29240,4892,6957
111,29231,4835,6932
102,32438,5402,6699
29558,6831,5467,29558
8505,6281,26247,8505
28407,30952,8002,28407
25735,7758,21290,25735
9142,11855,17345,9142
8525,6301,26267,8525
109,8354,19279,32434
116,29506,25791,17104
122,6628,34128,21493
122,27503,28632,26170
23632,18990,23295,23632
25354,31691,12149,25354
18849,19565,8001,18849
112,18282,5245,28394
101,12726,9678,26860
115,12772,9692,26870
116,15129,1533,22994
116,12773,9693,26869
104,15437,17649,19550
117,24185,21752,27760
116,3956,15767,18851
111,608,26426,11591
117,7960,30032,26873
116,27175,29903,6168
102,20547,2372,18127
109,2401,12053,8035
102,22877,1997,9343
116,2536,12316,8178
25689,31930,13060,25689
100,10553,16996,19512
104,5113,13590,20232
111,5104,13647,20207
116,6714,5773,12384
102,8311,13080,19974
122,3518,11842,7660
8065,23389,31604,8065
3280,24046,472,3280
101,3653,7677,21756
104,17483,10200,15143
117,21304,23152,5213
25849,31978,13124,25849
25802,31979,13301,25802
101,19357,23170,4793
34256,31055,9618,34256
100,28946,30044,21280
117,28897,30029,21297
104,20769,7098,33314
111,12542,12525,14740
116,21235,23896,17260
111,22245,20357,8069
116,20493,4356,29860
116,9973,11077,34340
99,26854,22503,3002
101,23019,29235,22274
116,23002,29220,22257
104,13878,27674,2557
117,23675,5083,10846
24177,34590,31812,24177
102,11360,26895,33342
101,2052,2530,20472
116,2099,2515,20495
104,28744,25686,24756
13377,1553,22663,13377
122,27192,10766,26406
116,947,9354,12050
117,33511,21014,21585
101,13062,12246,32993
116,13109,12231,33016
98,6660,34723,11336
116,31386,19106,12883
100,1083,15090,15520
101,284,15163,15306
104,456,21795,6065
116,28646,7437,4864
99,8972,9972,27277
116,15522,28303,11695
27892,1521,8316,27892
101,18867,20152,435
102,18868,20151,436
110,27541,135,12435
116,17740,7948,12373
98,18800,19899,48
104,17104,25024,289
122,19000,19555,200
101,10763,9346,5101
117,9194,8742,26559
102,2332,26450,14908
102,3789,24145,17046
122,31553,24961,6210
116,27072,11363,13839
116,20279,21690,21458
111,32678,6569,10197
99,14767,7555,2094
101,3772,12946,16501
116,3755,12931,16484
104,19387,19223,26795
21638,4127,14685,21638
101,25276,19649,26728
122,1182,28667,2793
117,16166,11809,18070
115,25258,19635,26710
104,15161,30267,5769
117,16125,19074,704
111,22354,29169,27289
116,28997,26222,25250
102,26809,28602,28082
106,32168,3025,3607
101,16008,3398,19972
115,16054,3412,19994
104,34729,22341,19594
116,3507,1515,2833
111,18609,24967,9371
116,5515,5773,20505
102,4061,19697,15250
117,1354,96,33481
101,409,9580,2335
104,20611,20414,3250
111,20602,20357,3273
110,17730,30025,17871
117,17769,30032,17862
116,19248,4356,18402
122,798,8983,2532
116,10841,21224,14401
115,839,8926,2633
116,26031,10429,32307
116,16116,25595,25007
102,7771,21654,18637
116,29914,19215,10343
11396,5665,4434,11396
116,19657,25791,16530
122,32615,3983,29272
122,165,3374,39
102,32370,18288,13760
117,11063,12274,31907
122,31662,17642,33862
1053,33467,2728,1053
30258,13137,31964,30258
30243,13152,31979,30243
97,22013,10734,28305
99,22139,10224,28051
8744,6440,26710,8744
117,26267,25215,23807
1291,33497,2934,1291
100,28842,7657,29647
118,28792,7643,29665
116,19277,16394,4873
104,19105,32510,9373
108,6282,1924,9748
122,34575,27215,12618
5163,34505,19126,5163
117,7953,11914,7581
9003,27547,28171,9003
98,11683,6922,21886
100,11685,6924,21888
122,19316,3913,4958
116,7299,6529,25402
116,7331,6657,25210
127,10868,22239,32417
33658,1346,3199,33658
100,6379,22912,2144
117,6330,22897,2161
102,8084,33692,6535
101,29144,34075,33214
116,29031,34090,33237
104,30921,27103,12807
111,30944,27160,12782
116,28730,27639,33964
115,29446,34729,33044
116,1800,2259,11675
115,9120,26153,18120
116,6719,18403,3233
33451,1521,3854,33451
101,18867,20152,19975
104,17104,25024,285
117,9194,15678,30302
109,21989,3563,30671
102,29377,16800,16877
101,21542,22296,13293
116,21429,22311,13270
104,23466,6309,13377
